feed_tag,source,title,link,published_iso,summary
nature-biotech,Biotechnology : nature.com subject feeds,Treatment of a severe vascular disease using a bespoke CRISPR–Cas9 base editor in mice,https://www.nature.com/articles/s41551-025-01499-1,2025-09-11T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Dual AAV vectors for efficient delivery of large transgenes,https://www.nature.com/articles/s41596-025-01243-8,2025-09-11T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,The evolution of penile reconstructive techniques in urology,https://www.nature.com/articles/s41443-025-01141-3,2025-09-10T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Epigenetic clues from cancer’s past foretell its future,https://www.nature.com/articles/d41586-025-02256-9,2025-09-10T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Human gastroids to model regional patterning in early stomach development,https://www.nature.com/articles/s41586-025-09508-8,2025-09-10T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Programmable antisense oligomers for phage functional genomics,https://www.nature.com/articles/s41586-025-09499-6,2025-09-10T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Nanofibrous supramolecular peptide hydrogels for controlled release of small-molecule drugs and biologics,https://www.nature.com/articles/s41565-025-01981-6,2025-09-10T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Nanotechnology for CAR T cells and tumour-infiltrating lymphocyte therapies,https://www.nature.com/articles/s41565-025-02008-w,2025-09-10T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Albumin nanoparticles deliver mRNA on target,https://www.nature.com/articles/s41578-025-00843-w,2025-09-09T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Antibody–bottlebrush prodrugs pack a punch for targeted cancer therapy,https://www.nature.com/articles/s41587-025-02773-y,2025-09-09T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Genome-wide mapping of RNA-protein associations through sequencing,https://www.nature.com/articles/s41587-025-02780-z,2025-09-09T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,High-throughput platforms for machine learning-guided lipid nanoparticle design,https://www.nature.com/articles/s41578-025-00831-0,2025-09-08T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,‘Amazing feat’: US man still alive six months after pig kidney transplant,https://www.nature.com/articles/d41586-025-02851-w,2025-09-08T00:00:00Z,
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/biotech/astrazeneca-pauses-271m-expansion-uk-latest-big-pharma-buck-britain"" hreflang=""en"">AstraZeneca pauses $271M expansion in UK—the latest Big Pharma to buck Britain</a>",https://www.fiercebiotech.com/biotech/astrazeneca-pauses-271m-expansion-uk-latest-big-pharma-buck-britain,,"AstraZeneca has paused a 200 million pound sterling (about $271 million) investment in its Cambridge, England, research site, the latest Big Pharma to pull back from the U.K. this week, a company spokesperson has confirmed to Fierce Biotech."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/medtech/neurescues-resuscitation-device-nets-eu-approval-non-shockable-cardiac-arrests"" hreflang=""en"">Neurescue's resuscitation device nets European approval for non-shockable cardiac arrests</a>",https://www.fiercebiotech.com/medtech/neurescues-resuscitation-device-nets-eu-approval-non-shockable-cardiac-arrests,,Neurescue has been working for over a decade to develop an easy-to-use system capable of directing oxygenated blood to the heart and brain when it’s needed most.
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/biotech/eli-lilly-reconsiders-uk-biotech-incubator-pauses-buildout-report"" hreflang=""en"">Eli Lilly reconsiders UK biotech incubator, pauses buildout </a>",https://www.fiercebiotech.com/biotech/eli-lilly-reconsiders-uk-biotech-incubator-pauses-buildout-report,,"Eli Lilly is reconsidering plans for its U.K. biotech-focused Gateway Labs amid concerns about the industry’s outlook in the country and low government spend on drug development, according to reports from several outlets."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/medtech/philips-masimo-re-patient-monitoring-partnership-broader-ai-commercial-focus"" hreflang=""en"">Philips, Masimo re-up patient monitoring partnership with broader AI, commercial focus</a>",https://www.fiercebiotech.com/medtech/philips-masimo-re-patient-monitoring-partnership-broader-ai-commercial-focus,,Philips and Masimo are renewing their yearslong collaboration with an expanded focus on developing next-gen vital sign readers.
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/biotech/galimedix-seeks-phase-2-funding-after-oral-alzheimers-candidate-clears-safety-test"" hreflang=""en"">Galimedix starts phase 2 fundraise after oral Alzheimer’s candidate clears safety test</a>",https://www.fiercebiotech.com/biotech/galimedix-seeks-phase-2-funding-after-oral-alzheimers-candidate-clears-safety-test,,Maryland-based biotech Galimedix Therapeutics is ready to take a big swing on its oral Alzheimer’s disease candidate after the small molecule caused no serious adverse events and successfully crossed the blood-brain barrier in a phase 1 trial.
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/biotech/chutes-ladders-takeda-taps-longtime-lilly-exec-us-head"" hreflang=""en"">Chutes &amp; Ladders—Takeda taps longtime Lilly exec as US head</a>",https://www.fiercebiotech.com/biotech/chutes-ladders-takeda-taps-longtime-lilly-exec-us-head,,"With its head of U.S. business Julie Kim sliding up to the CEO spot next June, Takeda has locked in a replacement in Rhona Pacheco. Pacheco is set to leave behind her role as Eli Lilly’s VP of U.S. cardiometabolic health, the most recent title she’s held along her 20-year tenure at Lilly which saw her overseeing the company’s booming GLP-1 drug portfolio."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/pharma/fiercest-women-life-sciences-2025-nominations-open-now"" hreflang=""en"">Fiercest Women in Life Sciences 2025: Nominations open now—TWO WEEKS LEFT</a>",https://www.fiercebiotech.com/pharma/fiercest-women-life-sciences-2025-nominations-open-now,,"Every year, Fierce celebrates women making a powerful impact across biopharma and medtech. It’s time once again to make your suggestions for this year’s honorees."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/pharma/amid-restructuring-novo-nordisk-orders-employees-return-office"" hreflang=""en"">Amid restructuring, Novo Nordisk directs employees to return to office</a>",https://www.fiercebiotech.com/pharma/amid-restructuring-novo-nordisk-orders-employees-return-office,,"One day after announcing that it plans to cut 9,000 jobs in a major restructuring, Novo Nordisk has told its employees that office work will be mandatory at the start of next year."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/research/custom-gene-editor-fixes-mutation-causing-deadly-ultrarare-vascular-disease-mice"" hreflang=""en"">Custom gene editor fixes mutation causing deadly ultrarare vascular disease in mice</a>",https://www.fiercebiotech.com/research/custom-gene-editor-fixes-mutation-causing-deadly-ultrarare-vascular-disease-mice,,"Researchers at Mass General Brigham in Boston have designed a custom gene editing technique that corrected the mutation behind a rare blood vessel disease in mice, paving the way for further development of the approach to treat the deadly condition and other genetic vascular diseases."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/medtech/exact-sciences-rolls-out-cancerguard-multi-cancer-blood-test"" hreflang=""en"">Exact Sciences rolls out Cancerguard multi-cancer blood test</a>",https://www.fiercebiotech.com/medtech/exact-sciences-rolls-out-cancerguard-multi-cancer-blood-test,,"Priced at $689, Cancerguard will first be available to physicians for prescription before Exact Sciences opens it up to broader consumer access through its own telehealth portal next month."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/biotech/arrowhead-battles-ionis-over-patent-dispute-tied-rnai-candidate-could-rival-tryngolza"" hreflang=""en"">Arrowhead battles Ionis over patent dispute tied to RNAi candidate that could rival Tryngolza</a>",https://www.fiercebiotech.com/biotech/arrowhead-battles-ionis-over-patent-dispute-tied-rnai-candidate-could-rival-tryngolza,,"Arrowhead Pharmaceuticals has launched legal action against Ionis Pharmaceuticals, aiming to neutralize Ionis' claim that Arrowhead's potential rival to Tryngolza breaches a patent."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/biotech/fibrogen-pays-sec-12m-over-allegations-former-exec-reverse-engineered-roxadustat-data"" hreflang=""en"">FibroGen pays SEC $1.2M over allegations former exec 'reverse engineered' roxadustat data</a>",https://www.fiercebiotech.com/biotech/fibrogen-pays-sec-12m-over-allegations-former-exec-reverse-engineered-roxadustat-data,,FibroGen has agreed to pay $1.25 million to the Securities and Exchange Commission to address allegations that its former chief medical officer manipulated data for the anemia drug roxadustat.
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/biotech/capsida-pauses-phase-1-gene-therapy-trial-after-child-dies"" hreflang=""en"">Capsida pauses phase 1 gene therapy trial after child dies</a>",https://www.fiercebiotech.com/biotech/capsida-pauses-phase-1-gene-therapy-trial-after-child-dies,,"Capsida Biotherapeutics has paused a gene therapy clinical trial after the first patient died. The biotech, which began the phase 1/2 study in July, took the action to give it time to determine the root cause of the death."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/biotech/lb-pharmaceuticals-upsizes-ipo-285m-first-biotech-listing-months"" hreflang=""en"">LB Pharmaceuticals upsizes IPO to $285M in 1st biotech listing in months</a>",https://www.fiercebiotech.com/biotech/lb-pharmaceuticals-upsizes-ipo-285m-first-biotech-listing-months,,"LB Pharmaceuticals’ decision to break cover and go public seems to have paid off, with the company bumping up the number of shares on offer for its Nasdaq listing this morning."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/biotech/uk-life-sci-investments-lag-abpi-spotlights-countrys-competitive-pitfalls"" hreflang=""en"">As UK life science investments lag, ABPI spotlights country's competitive pitfalls</a>",https://www.fiercebiotech.com/biotech/uk-life-sci-investments-lag-abpi-spotlights-countrys-competitive-pitfalls,,"One week after warning that the United Kingdom is undervaluing life sciences manufacturing investments, trade organization the Association of the British Pharmaceutical Industry has issued another call to action for policymakers and the local biopharma scene."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/biotech/merck-executes-its-own-brexit-moving-all-rd-operations-out-uk"" hreflang=""en"">Merck executes its own Brexit, moving all R&amp;D operations out of UK</a>",https://www.fiercebiotech.com/biotech/merck-executes-its-own-brexit-moving-all-rd-operations-out-uk,,"Less than two years after breaking ground on a ballyhooed 1 billion pound sterling ($1.31 billion) R&D center and future U.K. headquarters in London, Merck is not only bailing on the project but is discontinuing all of its research operations in Britain, citing an unwelcoming business environment for drugmakers."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/pharma/first-pd-1xvegfs-sake-summit-must-submit-big-pharma-stat"" hreflang=""en"">Editor's Corner—For the first PD-1xVEGF's sake, Summit must submit to Big Pharma, stat</a>",https://www.fiercebiotech.com/pharma/first-pd-1xvegfs-sake-summit-must-submit-big-pharma-stat,,"The highly debatable HARMONi data, along with the trial design flaws and the unfortunate execution they reflect, plus a rapidly evolving competitive landscape, all point to one conclusion: Summit must partner with a Big Pharma company as soon as possible."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/cro/iqvia-unveils-ai-suite-managing-clinical-trial-finances"" hreflang=""en"">IQVIA unveils AI suite for managing clinical trial finances</a>",https://www.fiercebiotech.com/cro/iqvia-unveils-ai-suite-managing-clinical-trial-finances,,IQVIA is unveiling a new suite of tools designed to manage all the financial components of clinical trials.
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/research/breath-taking-2b-gift-oregons-knight-cancer-institute-tightens-laces-race-top-oncology"" hreflang=""en"">With 'breathtaking' $2B gift, Oregon's Knight Cancer Institute tightens laces for race to the top</a>",https://www.fiercebiotech.com/research/breath-taking-2b-gift-oregons-knight-cancer-institute-tightens-laces-race-top-oncology,,"What’s the best way to spend $2 billion? That’s the pleasant problem facing oncology legend Brian Druker, M.D., as he stewards what is thought to be the largest educational donation in history from Nike co-founder Phil Knight and his wife Penny."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/cro/phasev-launches-trial-optimizing-software-cro-bioforums-offerings"" hreflang=""en"">PhaseV launches trial optimization software into CRO Bioforum's offerings</a>",https://www.fiercebiotech.com/cro/phasev-launches-trial-optimizing-software-cro-bioforums-offerings,,"Clinical software developer PhaseV is teaming up with another global CRO, unveiling a plan to infuse its trial design platform into Bioforum’s services."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/medtech/ge-healthcare-acquire-brain-mri-software-developer-icometrix"" hreflang=""en"">GE HealthCare to acquire brain MRI software developer icometrix</a>",https://www.fiercebiotech.com/medtech/ge-healthcare-acquire-brain-mri-software-developer-icometrix,,The deal includes the icobrain aria AI platform for quantifying the side effects of Alzheimer’s disease therapies that target amyloid plaque buildups.
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/research/time-stop-tolerating-womens-pain-and-suffering-melinda-gates-backed-research-initiative"" hreflang=""en"">Time to 'stop tolerating women's pain and suffering': Melinda Gates-backed research initiative raises $100M</a>",https://www.fiercebiotech.com/research/time-stop-tolerating-womens-pain-and-suffering-melinda-gates-backed-research-initiative,,"U.S. nonprofit Wellcome Leap is partnering with the Melinda French Gates-founded coalition Pivotal, raising $100 million to advance women’s health research in areas with the highest need."
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/medtech/apple-aims-catch-1-million-hypertension-cases-1-year-new-apple-watch"" hreflang=""en"">Apple aims to catch 1 million hypertension cases in one year with new Apple Watch</a>",https://www.fiercebiotech.com/medtech/apple-aims-catch-1-million-hypertension-cases-1-year-new-apple-watch,,The Apple Watch's blood pressure feature employs the same sensor used to track pulse rates by recording how blood vessels react to the force of each beat.
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/biotech/fierce-biotech-fundraising-tracker-25"" hreflang=""en"">Fierce Biotech Fundraising Tracker '25: Odyssey heralds $213M; NRG Tx nets $67M</a>",https://www.fiercebiotech.com/biotech/fierce-biotech-fundraising-tracker-25,,The Fierce Biotech Fundraising Tracker records venture capital rounds of $50 million or more secured by biotechs.
fiercebiotech,Fierce Biotech,"<a href=""https://www.fiercebiotech.com/biotech/fierce-biotech-layoff-tracker-2025"" hreflang=""en"">Fierce Biotech Layoff Tracker 2025: Novo Nordisk cuts 9,000 staffers; Lundbeck lets go of 602</a>",https://www.fiercebiotech.com/biotech/fierce-biotech-layoff-tracker-2025,,"As always, if you know of layoffs occurring at a biotech, please reach out to the Fierce Biotech editorial team."
